date,visitors,arrived,leftOfTimeout,leftBeforeTimeout,courseParticipants,courseName,courseStatus
2025-11-10T16:46:51,21,21,0,0,,,
2025-11-10T16:47:58,21,0,0,0,,,
2025-11-10T17:36:12,19,0,0,2,,,
2025-11-10T17:40:51,21,2,0,0,,,
2025-11-10T17:55:56,25,4,0,0,,,
2025-11-10T18:06:17,24,0,0,1,,,
2025-11-10T18:18:28,34,10,0,0,,,
2025-11-10T18:30:46,35,1,0,0,,,
2025-11-10T18:43:21,42,7,0,0,,,
2025-11-10T18:53:38,42,18,18,0,,,
2025-11-10T19:07:16,43,1,0,0,,,
2025-11-10T19:21:12,46,3,0,0,,,
2025-11-10T19:41:39,55,11,2,0,,,
2025-11-10T19:54:09,47,0,0,8,,,
2025-11-10T20:04:28,43,0,0,4,,,
2025-11-10T20:16:39,43,0,0,0,,,
2025-11-10T20:26:29,33,0,2,8,,,
2025-11-10T20:35:16,32,0,0,1,,,
2025-11-10T20:43:26,33,1,0,0,,,
2025-11-10T20:53:00,23,0,0,10,,,
2025-11-10T21:06:02,23,7,7,0,,,
2025-11-10T21:19:10,17,0,1,5,,,
2025-11-10T21:33:59,6,0,0,11,,,
2025-11-10T21:45:52,6,0,0,0,,,
2025-11-10T21:54:45,5,0,0,1,,,
2025-11-10T22:05:23,3,0,0,2,,,
2025-11-10T22:18:01,3,0,0,0,,,
2025-11-10T22:27:54,3,0,0,0,,,
2025-11-10T22:35:27,2,0,0,1,,,
2025-11-10T22:42:56,2,0,0,0,,,
2025-11-10T22:51:17,1,0,0,1,,,
2025-11-10T23:01:52,1,0,0,0,,,
2025-11-10T23:15:02,1,1,1,0,,,
2025-11-10T23:27:29,1,0,0,0,,,
2025-11-10T23:37:36,1,0,0,0,,,
2025-11-11T00:18:47,0,0,0,1,,,
2025-11-11T00:26:36,0,0,0,0,,,
2025-11-11T00:33:48,0,0,0,0,,,
2025-11-11T00:42:13,0,0,0,0,,,
2025-11-11T00:51:13,0,0,0,0,,,
2025-11-11T01:04:40,0,0,0,0,,,
2025-11-11T01:41:29,0,0,0,0,,,
2025-11-11T02:18:37,0,0,0,0,,,
2025-11-11T03:06:26,0,0,0,0,,,
2025-11-11T03:47:23,0,0,0,0,,,
2025-11-11T04:18:59,0,0,0,0,,,
2025-11-11T04:40:28,0,0,0,0,,,
2025-11-11T04:59:25,0,0,0,0,,,
2025-11-11T05:12:54,0,0,0,0,,,
2025-11-11T05:31:51,0,0,0,0,,,
2025-11-11T05:46:34,0,0,0,0,,,
2025-11-11T05:55:32,0,0,0,0,,,
2025-11-11T06:08:12,1,1,0,0,,,
2025-11-11T06:21:44,1,0,0,0,,,
2025-11-11T06:37:47,1,0,0,0,,,
2025-11-11T06:47:13,1,0,0,0,,,
2025-11-11T06:55:29,2,1,0,0,,,
2025-11-11T07:10:06,2,0,0,0,,,
2025-11-11T07:25:52,2,0,0,0,,,
2025-11-11T07:44:17,3,1,0,0,,,
2025-11-11T07:56:11,3,0,0,0,,,
2025-11-11T08:08:37,2,0,1,0,,,
2025-11-11T08:22:20,2,0,0,0,,,
2025-11-11T08:36:04,2,0,0,0,,,
2025-11-11T08:45:34,2,0,0,0,,,
2025-11-11T08:54:08,3,1,0,0,,,
2025-11-11T09:08:28,2,0,1,0,,,
2025-11-11T09:23:12,2,0,0,0,,,
2025-11-11T09:40:24,4,2,0,0,,,
2025-11-11T09:55:45,4,1,1,0,,,
2025-11-11T10:08:27,5,1,0,0,0,YAKO PILATES,CANCELED
2025-11-11T10:22:49,7,2,0,0,0,YAKO PILATES,CANCELED
