date,type,customer
2025-12-19T06:04:03.974+01:00,CHECKIN,1251339810
2025-12-19T06:05:38.199+01:00,CHECKIN,1235812559
2025-12-19T06:25:13.895+01:00,CHECKIN,1259071845
2025-12-19T06:25:20.536+01:00,CHECKIN,1259071845
2025-12-19T07:04:03.974+01:00,CHECKOUT,1251339810
2025-12-19T07:05:38.199+01:00,CHECKOUT,1235812559
2025-12-19T07:25:13.895+01:00,CHECKOUT,1259071845
2025-12-19T07:25:20.536+01:00,CHECKOUT,1259071845
2025-12-19T07:59:42.107+01:00,CHECKIN,1236229704
2025-12-19T08:23:34.525+01:00,CHECKIN,1253946590
2025-12-19T08:32:54.206+01:00,CHECKIN,1216336318
2025-12-19T08:44:15.265+01:00,CHECKIN,1459598663
2025-12-19T08:47:16.365+01:00,CHECKIN,1385058865
2025-12-19T08:59:42.107+01:00,CHECKOUT,1236229704
2025-12-19T09:23:34.525+01:00,CHECKOUT,1253946590
2025-12-19T09:32:54.206+01:00,CHECKOUT,1216336318
2025-12-19T09:44:15.265+01:00,CHECKOUT,1459598663
2025-12-19T09:45:05.626+01:00,CHECKIN,1475892415
2025-12-19T09:47:16.365+01:00,CHECKOUT,1385058865
2025-12-19T09:48:58.801+01:00,CHECKIN,1241501414
2025-12-19T10:01:16.285+01:00,CHECKIN,1355994536
2025-12-19T10:29:24.107+01:00,CHECKIN,1415205997
2025-12-19T10:34:41.110+01:00,CHECKIN,1408625363
2025-12-19T10:39:45.163+01:00,CHECKIN,1236166742
2025-12-19T10:40:16.701+01:00,CHECKIN,1353616705
2025-12-19T10:45:05.626+01:00,CHECKOUT,1475892415
2025-12-19T10:48:58.801+01:00,CHECKOUT,1241501414
2025-12-19T11:01:16.285+01:00,CHECKOUT,1355994536
2025-12-19T11:08:40.969+01:00,CHECKIN,1211321094
2025-12-19T11:09:01.988+01:00,CHECKIN,1235828407
2025-12-19T11:12:27.403+01:00,CHECKIN,1271274500
2025-12-19T11:13:41.656+01:00,CHECKIN,1497631800
2025-12-19T11:21:04.270+01:00,CHECKIN,1226589204
2025-12-19T11:21:05.291+01:00,CHECKIN,1235726294
2025-12-19T11:23:38.671+01:00,CHECKIN,1216328311
2025-12-19T11:29:24.107+01:00,CHECKOUT,1415205997
2025-12-19T11:34:09.953+01:00,CHECKIN,1499833189
2025-12-19T11:34:41.110+01:00,CHECKOUT,1408625363
2025-12-19T11:39:02.928+01:00,CHECKIN,1315519471
2025-12-19T11:39:45.163+01:00,CHECKOUT,1236166742
2025-12-19T11:40:16.701+01:00,CHECKOUT,1353616705
2025-12-19T11:48:01.286+01:00,CHECKOUT,1497631800
2025-12-19T11:48:03.241+01:00,CHECKIN,1497631800
2025-12-19T11:48:13.470+01:00,CHECKIN,1505485590
2025-12-19T11:54:30.497+01:00,CHECKIN,1527076988
2025-12-19T12:07:39.354+01:00,CHECKIN,1434348611
2025-12-19T12:08:40.969+01:00,CHECKOUT,1211321094
2025-12-19T12:09:01.988+01:00,CHECKOUT,1235828407
2025-12-19T12:11:20.174+01:00,CHECKIN,1429625961
2025-12-19T12:12:27.403+01:00,CHECKOUT,1271274500
2025-12-19T12:21:04.270+01:00,CHECKOUT,1226589204
2025-12-19T12:21:05.291+01:00,CHECKOUT,1235726294
2025-12-19T12:23:38.671+01:00,CHECKOUT,1216328311
2025-12-19T12:27:20.519+01:00,CHECKIN,1411009040
2025-12-19T12:28:46.858+01:00,CHECKIN,1477449158
2025-12-19T12:30:01.797+01:00,CHECKIN,1408339791
2025-12-19T12:33:30.201+01:00,CHECKIN,1235602741
2025-12-19T12:34:09.953+01:00,CHECKOUT,1499833189
2025-12-19T12:39:02.928+01:00,CHECKOUT,1315519471
2025-12-19T12:48:03.241+01:00,CHECKOUT,1497631800
2025-12-19T12:48:13.470+01:00,CHECKOUT,1505485590
2025-12-19T12:54:30.497+01:00,CHECKOUT,1527076988
2025-12-19T13:07:39.354+01:00,CHECKOUT,1434348611
2025-12-19T13:11:20.174+01:00,CHECKOUT,1429625961
2025-12-19T13:20:10.401+01:00,CHECKIN,1256661492
2025-12-19T13:27:20.519+01:00,CHECKOUT,1411009040
2025-12-19T13:28:46.858+01:00,CHECKOUT,1477449158
2025-12-19T13:30:01.797+01:00,CHECKOUT,1408339791
2025-12-19T13:33:30.201+01:00,CHECKOUT,1235602741
2025-12-19T13:54:29.503+01:00,CHECKIN,1244850376
2025-12-19T14:08:55.487+01:00,CHECKIN,1256636400
2025-12-19T14:20:10.401+01:00,CHECKOUT,1256661492
2025-12-19T14:22:14.714+01:00,CHECKIN,1259081588
2025-12-19T14:22:32.322+01:00,CHECKIN,1432846090
2025-12-19T14:33:51.663+01:00,CHECKIN,1235982348
2025-12-19T14:47:41.694+01:00,CHECKIN,1506054494
2025-12-19T14:54:29.503+01:00,CHECKOUT,1244850376
2025-12-19T15:08:55.487+01:00,CHECKOUT,1256636400
2025-12-19T15:22:14.714+01:00,CHECKOUT,1259081588
2025-12-19T15:22:32.322+01:00,CHECKOUT,1432846090
2025-12-19T15:33:51.663+01:00,CHECKOUT,1235982348
2025-12-19T15:47:41.694+01:00,CHECKOUT,1506054494
